bookingStatus,status1Day,status1Month,status1Week,status2Days,labels,travelClass
86,41.1812942532521,40.13770644335892,42.39598732840549,36.0,0,3
14,41.1812942532521,40.13770644335892,42.39598732840549,32.0,0,3
55,20.0,20.0,33.0,11.0,0,3
19,41.1812942532521,40.13770644335892,42.39598732840549,19.0,0,3
86,41.1812942532521,40.13770644335892,27.0,41.076940084015035,0,3
74,4.0,40.13770644335892,6.0,30.0,0,3
37,5.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
2,41.1812942532521,40.13770644335892,2.0,41.076940084015035,0,0
14,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
164,3.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
124,63.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
85,59.0,2.0,42.39598732840549,41.076940084015035,0,3
2,21.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
7,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,1
55,8.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
102,41.1812942532521,24.0,42.39598732840549,41.076940084015035,0,3
16,41.1812942532521,40.13770644335892,11.0,41.076940084015035,1,3
74,18.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
25,71.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
28,26.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
26,45.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
95,47.0,2.0,23.0,41.076940084015035,0,3
3,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
12,2.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
86,55.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
114,18.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
37,41.1812942532521,40.13770644335892,55.0,41.076940084015035,0,3
11,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
51,10.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
28,13.0,48.0,42.39598732840549,41.076940084015035,0,3
4,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,1
33,13.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
2,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
23,41.1812942532521,24.0,38.0,2.0,0,5
7,13.0,30.0,42.39598732840549,41.076940084015035,0,1
144,54.0,26.0,42.39598732840549,41.076940084015035,0,3
75,18.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
38,24.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
99,52.0,4.0,42.39598732840549,41.076940084015035,0,3
5,2.0,2.0,2.0,41.076940084015035,0,3
49,30.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
52,1.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
8,17.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
112,4.0,17.0,42.39598732840549,41.076940084015035,0,3
151,33.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
113,60.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
74,55.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
63,24.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
199,41.1812942532521,22.0,56.0,40.0,1,3
94,45.0,47.0,42.39598732840549,41.076940084015035,0,3
431,41.1812942532521,162.0,42.39598732840549,41.076940084015035,0,3
104,36.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
355,62.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
153,41.1812942532521,40.13770644335892,42.39598732840549,36.0,0,3
264,41.1812942532521,40.13770644335892,42.39598732840549,128.0,0,3
49,26.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
104,41.1812942532521,40.13770644335892,42.39598732840549,8.0,1,3
18,13.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
264,30.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
16,41.1812942532521,40.13770644335892,9.0,41.076940084015035,0,3
208,22.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
427,26.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
239,19.0,26.0,42.39598732840549,121.0,0,3
63,40.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
102,52.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
156,22.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
8,2.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
90,52.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
36,25.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
11,5.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
143,41.1812942532521,22.0,42.39598732840549,41.076940084015035,0,3
45,41.1812942532521,40.13770644335892,42.39598732840549,34.0,0,3
74,41.1812942532521,40.13770644335892,42.39598732840549,33.0,0,3
168,30.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
150,29.0,48.0,58.0,41.076940084015035,0,3
198,65.0,90.0,42.39598732840549,41.076940084015035,0,3
174,59.0,66.0,42.39598732840549,41.076940084015035,0,3
1,1.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
103,21.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
262,82.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
3,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
306,92.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
232,26.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
103,55.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
31,15.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
24,17.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
95,13.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
82,9.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
203,63.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
2,41.1812942532521,40.13770644335892,42.39598732840549,48.0,0,3
140,47.0,7.0,17.0,43.0,0,3
236,40.0,68.0,42.39598732840549,41.076940084015035,0,3
33,7.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
116,17.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
273,22.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
36,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
80,41.0,59.0,20.0,41.076940084015035,0,3
56,41.1812942532521,40.13770644335892,18.0,46.0,1,3
29,14.0,22.0,1.0,41.076940084015035,0,1
160,14.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
114,39.0,43.0,59.0,37.0,0,3
47,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
155,43.0,54.0,42.39598732840549,41.076940084015035,0,3
108,63.0,54.0,9.0,41.076940084015035,0,3
18,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
4,17.0,40.13770644335892,42.39598732840549,41.076940084015035,0,5
17,17.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
23,2.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
22,41.1812942532521,40.13770644335892,6.0,41.076940084015035,0,3
22,41.1812942532521,40.13770644335892,6.0,41.076940084015035,1,3
60,34.0,48.0,58.0,41.076940084015035,0,3
59,41.1812942532521,40.13770644335892,42.39598732840549,48.0,0,3
28,41.1812942532521,40.13770644335892,10.0,41.076940084015035,0,3
50,22.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
50,41.1812942532521,40.13770644335892,42.39598732840549,28.0,1,3
175,63.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
40,64.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
12,4.0,4.0,7.0,41.076940084015035,0,5
29,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,1
77,42.0,53.0,6.0,41.076940084015035,0,3
45,6.0,40.13770644335892,35.0,41.076940084015035,0,3
53,50.0,26.0,43.0,41.076940084015035,0,3
34,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,5
132,70.0,16.0,33.0,41.076940084015035,0,3
147,33.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
2,1.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
37,41.1812942532521,40.13770644335892,42.39598732840549,12.0,0,5
40,7.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
270,30.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
279,59.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
98,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
13,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
167,60.0,30.0,42.39598732840549,41.076940084015035,0,3
70,37.0,32.0,42.39598732840549,41.076940084015035,0,5
19,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
90,59.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
19,3.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
52,23.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
43,25.0,33.0,43.0,19.0,0,3
7,37.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
34,41.1812942532521,40.13770644335892,16.0,41.076940084015035,1,3
20,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
52,41.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
39,7.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
117,55.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
150,55.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
162,55.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
26,23.0,24.0,30.0,41.076940084015035,0,1
46,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
176,41.1812942532521,40.13770644335892,42.39598732840549,101.0,0,3
295,50.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
306,57.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
19,25.0,40.13770644335892,40.0,41.076940084015035,0,3
53,41.1812942532521,40.13770644335892,4.0,41.076940084015035,0,3
109,23.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
6,42.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
29,41.1812942532521,16.0,42.39598732840549,41.076940084015035,0,1
32,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
117,50.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
14,19.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
150,6.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
177,29.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
33,41.1812942532521,40.13770644335892,42.39598732840549,2.0,1,3
54,41.1812942532521,40.13770644335892,42.39598732840549,42.0,1,3
47,41.1812942532521,40.13770644335892,42.39598732840549,33.0,0,3
11,21.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
129,67.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
72,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
20,24.0,29.0,42.39598732840549,41.076940084015035,0,5
223,34.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
47,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
63,41.1812942532521,40.13770644335892,31.0,53.0,0,3
29,71.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
104,48.0,8.0,42.39598732840549,41.076940084015035,0,3
17,41.1812942532521,40.13770644335892,24.0,41.076940084015035,0,3
11,41.1812942532521,40.13770644335892,18.0,41.076940084015035,0,3
94,60.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
